sglx_stim_time,stim_state
1.9342124037541453,Art
7.925843066209154,Art
15.737736694479736,Art
24.226945093288577,Art
32.57000816666937,Art
41.253530865879384,N2
46.88831789741198,N2
51.9683425165008,Art
60.87108320385323,N2
68.5204475016028,N2
75.07175577802946,N2
81.17414231491193,Art
87.44692250476032,Art
95.95415330917126,N2
101.76031703397507,N2
110.34225890160951,Art
117.31332538851484,Art
122.99824747563184,Art
130.92745058036712,Art
139.62506352395712,N2
146.2428908610607,N2
151.22264536898115,N2
158.85136582031373,N2
165.26832525497912,N2
170.4371511816712,N2
178.78906161780196,N2
185.4268774411189,Art
193.37737975247478,Art
199.2340062129649,N2
204.99134560259176,N2
210.13625088184858,N2
215.44991141356127,N2
223.89226155780466,N2
229.78263906878578,N2
235.769026849611,N2
243.48458252793557,N2
251.48915205609796,Art
259.7473459830976,N2
265.795665303174,N2
272.8729001430811,N2
278.7839215004792,N2
286.12362810197374,N2
291.17645527260856,N2
296.84695943524343,Art
303.12334410621224,Art
308.3688471767389,N2
314.5561028600023,N2
322.9650296338564,N2
330.1939803609232,N2
338.7264425331773,N2
345.4832062334681,N2
350.9885596247675,N2
357.53298661905524,N2
362.9924647960943,N2
368.0400490850993,N2
373.92682211496003,N2
380.4545374240531,N2
388.14256797382154,N2
395.0926629342082,N2
402.0558650986691,Art
408.2994817594522,Art
413.6105208503502,Art
421.0183849130308,Art
429.92767920242045,N2
435.9989361296266,N2
441.92535845181214,N2
448.6591845449732,N2
455.0532063725084,Art
463.10102967411626,Art
469.9947636569834,Art
478.0717504876559,N2
485.19486054182266,N2
490.17363200943805,N2
497.0096942943785,N2
502.48916095763093,N2
509.5962146868071,N2
517.03619139947,N2
525.4585530574998,N2
531.0441880737542,N2
536.4033961396251,Art
545.0862634786315,N2
551.118198793615,N2
557.7147269240979,N2
563.6355786845518,N2
570.0105950661793,N2
576.3259736692692,N2
581.4974210367761,N2
588.0421757111656,Art
594.412276891265,Art
601.1559333874818,Art
610.1910568359847,N2
615.3258040320836,N2
621.154577683915,N2
629.7184971459476,N2
634.7873806415735,N2
641.1217646905709,N2
649.0817697248806,N2
653.9966435726335,N2
660.0007260789591,N2
668.1606159754017,Art
676.1514229392862,Art
682.8741079089839,Art
687.9695334928604,Art
694.1987322291614,Art
699.1191766386457,N2
706.6889146716442,N2
714.8465108073735,N2
721.5249589633206,Art
729.4951220807882,N2
736.238778577005,Art
744.1919023291755,REM
752.3855432761095,REM
761.3272778955832,Art
768.7974011776166,N2
777.1561928958861,Art
786.2460389213995,Art
793.5913160846255,REM
800.0115523203092,REM
805.4317088851255,REM
814.5261424320645,REM
822.4648482597538,REM
829.6256415256341,REM
837.3238301585604,REM
843.3711664383311,REM
851.3826172486322,REM
856.3731851999144,REM
861.3860353981224,REM
866.8625529404583,REM
873.2493658057526,REM
881.2545906941189,REM
887.7203744639608,REM
895.1888593454853,Art
902.7297615295199,Art
908.7154939501413,Art
913.7401406320162,Art
918.6442010364078,N2
925.3544341622353,N2
932.1075933814061,N2
939.106840357071,N2
945.6211207819877,Art
953.2613100368856,N2
961.181338098769,N2
970.0257517279904,N2
975.0313929639581,N2
980.8552514142623,N2
989.7999351546521,N2
998.8979731827114,N2
1003.8361123176958,N2
1011.8734498560441,N2
1020.882358896398,N2
1026.8975825261866,N2
1034.9264003818864,N2
1043.0702339533384,N2
1050.9171893525074,N2
1057.7240881083828,N2
1063.6580470729107,N2
1069.5716898711237,Art
1078.596327556367,Art
1085.3897914280658,Art
1094.126070623675,N2
1102.7076848112076,N2
1109.5103237257583,N2
1116.5924737671933,N2
1123.3584125103368,N2
1129.30220187792,N2
1135.5225532514712,N2
1142.4572472470707,Art
1149.6717800496556,Wake
1158.113147153594,Art
1166.4709558315578,Art
1172.0742855733126,N2
1180.1309562376703,N2
1185.3885834719656,N2
1191.518167457302,N2
1197.1591804107704,N2
1204.2596805379092,N2
1209.4553762329535,N2
1217.237450971955,N2
1224.8222622896385,N2
1232.7409796311142,N2
1237.831490013463,N2
1244.7117891121536,N2
1253.4372548644017,N2
1258.462884586582,N2
1264.527587911751,N2
1271.9075991657744,N2
1277.9025066292477,Art
1282.9458310769285,Art
1290.2363856631448,Art
1295.5631533989315,Art
1302.4627856236323,N2
1309.4594111584827,N2
1315.2868740899073,N2
1321.5920946098393,N2
1328.9029653623704,Art
1337.8325758180752,Art
1345.4943919596951,N2
1354.5734245418469,N2
1362.8024549397808,N2
1371.652111450633,N2
1379.42107898556,N2
1388.2605774132537,N2
1396.845468401805,Art
1403.069096576375,Art
1411.8768100341883,Art
1418.6247263717294,Art
1425.5056808306242,N2
1433.3234727007282,N2
1439.6709639537996,Art
1447.7046970110275,Art
1453.4374603930157,Art
1458.7471887635058,Art
1466.9100277808654,Art
1475.3117455924782,REM
1481.846669863812,REM
1488.003778977705,REM
1496.1561322318046,REM
1505.0175852263235,REM
1513.2063109717294,REM
1520.4444367416484,REM
1529.2967146933145,REM
1534.753899109641,Art
1541.2006774335753,REM
1546.3911302469899,REM
1555.0451617370325,REM
1561.5260187915603,REM
1567.958379191013,REM
1575.5464673097151,REM
1584.0776187615613,REM
1591.0306628428646,REM
1599.5949099849988,REM
1608.0297234868997,REM
1614.2877580721645,REM
1622.7071706092777,REM
1630.1107748306342,REM
1638.6691237309349,REM
1647.0898469884557,REM
1653.0578846835772,Art
1659.5239961335208,Art
1665.9629101350108,Art
1674.4229550047542,Art
1680.8900494950037,N2
1686.0480619783345,N2
1691.8499658618146,N2
1697.8874717385295,N2
1705.9660969697113,N2
1714.0211292335596,N2
1721.6564032869294,N2
1730.752802914479,N2
1736.1932756456106,N2
1743.4205879721683,N2
1749.9673087271692,N2
1754.9929384493496,N2
1760.778786007838,N2
1767.7822928248277,N2
1776.020498265614,Art
1781.0805343984896,Wake
1788.1695657220632,Wake
1796.6804010075946,Art
1801.6860422435623,Art
1806.9207318707274,Art
1814.6320277077282,Art
1820.6927988716745,Art
1826.0942776706854,Art
1832.5823436874537,Art
1839.628448917684,Art
1847.3289313113235,N2
1855.2420780910677,Art
1861.6357722385012,Art
1869.0075914899778,Art
1875.9950419819763,N2
1883.1863094973294,N2
1890.3664358892195,N2
1895.5912951133294,Art
1903.4831426864528,Art
1911.8651996919546,N2
1916.8275871544768,N2
1922.7589246781897,N2
1929.35315904796,Art
1937.190939404277,Wake
1945.331823854812,Art
1950.6487611875434,Art
1957.4133892102793,Wake
1963.034085997432,Art
1970.4258937351217,Art
1976.5630143628011,Art
1982.5169618135426,Art
1987.492784160241,Art
1995.8201185887322,Art
2003.0372728321324,Wake
2010.1302363169286,Art
2018.3127361403997,Wake
2023.3953822003034,Art
2032.3849581146476,Wake
2040.6402029207304,Wake
2046.7517645004652,Wake
2053.3971169661254,Wake
2058.629840512679,Wake
2065.4770439210824,Wake
2073.324327000354,Wake
2082.063882996981,Wake
2088.0122598859916,Wake
2095.40210154307,Wake
2103.5433136737065,Wake
2111.149096517909,Art
2116.436870321575,Wake
2122.3950776136408,Wake
2130.9288505063023,Wake
2137.216376300734,Wake
2142.6221149410685,Wake
2150.0925659032046,Art
2156.223132928847,Wake
2164.597325611904,Wake
2169.860195727829,Wake
2177.01574611208,Wake
2184.413779771705,Wake
2192.052330626093,Wake
2200.893467454296,Wake
2206.652445244433,Wake
2215.6118745894064,Wake
2222.391575896828,Wake
2227.890375686089,Wake
2233.5028804706963,Wake
2241.121770518972,Wake
2249.3684956424077,Wake
2258.4242629373266,Wake
2266.047412826928,Wake
2274.9629330382522,Wake
2283.196550957613,Wake
2289.3883941623026,Wake
2296.9093078601245,Wake
2303.80271416289,Wake
2310.4673997545588,Art
2315.9717701055524,Wake
2323.328843752445,Wake
2330.7897919916268,Wake
2337.1628422926433,Wake
2344.18175007442,Wake
2352.6339306217187,Art
2359.6518553631895,Wake
2366.4289352297956,Art
2372.5880104242997,Wake
2380.793120174799,Wake
2387.3169033226695,Wake
2393.368827123866,Wake
2400.3490686536234,Wake
2406.7394860000386,Art
2411.743161155395,Art
2416.885772673939,Art
2423.809653226176,Wake
2432.179913748011,Wake
2438.107974470706,Wake
2444.4826631722317,Wake
2451.65721900239,Wake
2458.0856472406203,Wake
2466.7455769724975,Wake
2475.2901633085194,Wake
2480.519610054055,Wake
2488.6359184969506,Wake
2494.2788975310305,Wake
2499.7786803605977,Wake
2505.882377617888,Wake
2512.003114240474,Wake
2518.5875182071895,Wake
2523.6921188339174,Art
2530.491808627551,Wake
2537.5565916235882,Wake
2543.2211975443897,Wake
2551.5334586881963,Wake
2556.972620698919,Wake
2565.9916878224312,Art
2572.72158175437,Wake
2578.9668368156617,Wake
2584.8837564148935,Wake
2592.225756777102,Wake
2599.4324252572414,Wake
2606.2022961616067,Wake
2612.650057525847,Wake
2620.9102175334574,Wake
2627.180703962593,Wake
2635.124980352014,Wake
2642.551522180501,Wake
2651.1577123756724,Wake
2656.223319070279,Wake
2664.955993784768,Wake
2673.901988245565,Art
2681.9134390558675,Wake
2688.291732238513,Wake
2693.573280120244,Wake
2701.4218739199223,Wake
2707.4941138874337,Art
2715.6100946502283,Wake
2724.6144161691564,Wake
2732.823130400776,Wake
2738.5054310470778,Wake
2745.9008432658884,Wake
2753.1468333582516,Wake
2760.9443090620407,Wake
2767.4710413308276,Wake
2772.517642579527,Wake
2778.3080776594416,Wake
2784.6185410610033,Wake
2792.593619379998,Wake
2798.365376694108,Art
2806.529526431874,Art
2814.9010976741165,Wake
2823.228432102608,Wake
2831.831345496761,Wake
2836.903505793406,Wake
2845.832460888906,Wake
2852.528931450456,Wake
2858.4796021001794,Wake
